@relation A0GestTest
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {D,A,B,C}
@data
682.948,266.01245,456.652,374.70602,317.256,574.9745,B
695.272,254.42064,489.212,348.80817,267.872,570.84595,B
681.264,271.76733,463.296,383.11667,342.612,624.1642,B
721.748,272.79205,498.796,364.91034,325.796,586.52893,B
703.272,267.88248,478.424,384.03873,334.052,566.99744,B
703.656,295.44946,465.336,369.21558,272.944,565.87646,B
685.196,214.0392,473.432,343.59238,260.624,553.3453,B
704.652,261.29263,499.128,342.9209,296.956,567.3134,B
703.636,267.24188,498.352,351.5488,337.116,548.7976,B
738.904,366.76526,487.752,379.406,307.948,555.3081,B
708.896,300.22888,509.924,354.95404,312.408,602.3825,B
723.832,282.43674,475.736,369.3309,294.368,626.95844,B
683.424,279.75876,444.84,369.5785,279.032,639.6253,B
683.08,221.37871,469.708,343.62268,261.82,597.23114,B
684.328,221.63742,489.744,340.5222,273.652,621.39343,B
673.26,294.3888,466.324,372.85266,294.404,585.62823,B
671.488,186.69162,483.24,354.56036,283.808,601.3744,B
688.532,231.28912,516.692,320.60876,274.512,550.36786,B
679.396,234.67723,485.92,348.06052,313.62,569.06964,B
720.448,202.99007,469.308,359.63446,323.68,581.1403,B
682.904,219.13568,501.444,329.3046,267.264,578.5402,B
705.768,252.69011,441.412,385.77573,329.996,585.65485,B
678.468,195.83154,459.328,349.90796,315.54,584.328,B
712.752,189.00839,471.56,352.56335,318.116,583.4499,B
686.22,170.36617,453.536,371.51166,339.084,579.1167,B
687.92,227.32669,393.916,369.91415,300.82,628.1236,B
595.772,169.4394,441.32,303.70047,266.86,569.6546,B
603.58,224.53087,402.932,335.88684,295.728,576.4248,B
640.384,205.58629,412.356,345.13095,304.956,590.57025,B
623.54,315.8999,367.684,394.12982,353.256,597.00415,B
593.712,209.4377,378.976,373.6466,308.736,618.2876,B
611.796,246.84396,371.12,383.04736,299.076,620.4371,B
636.94,285.79398,337.696,376.69113,329.452,642.7536,B
655.628,254.25487,372.764,365.18066,250.388,612.26245,B
621.644,208.48978,465.868,293.81644,272.58,591.4606,B
631.192,232.87434,477.736,345.09836,259.66,597.0349,B
675.444,189.5494,469.552,386.24072,296.896,593.6288,B
723.28,310.13712,479.796,377.82843,290.176,576.00275,B
725.04,229.89587,482.288,350.79095,292.44,565.6034,B
705.84,247.66072,476.56,368.88556,322.404,576.4251,B
768.132,293.73624,458.216,380.6931,285.628,567.0653,B
699.96,275.18576,451.576,381.66827,314.924,607.2137,B
720.228,324.28662,477.692,355.22943,269.072,579.322,B
666.384,748.36127,396.896,206.76814,-8.004,426.82785,C
566.836,822.4702,357.44,175.26973,-75.0,376.33713,C
597.552,820.0416,323.76,211.01321,9.688,421.9529,C
587.192,824.0334,311.72,206.91647,-52.344,379.95627,C
638.28,818.42896,338.88,173.77393,-85.008,319.06427,C
638.972,783.44977,350.732,193.45505,-36.272,368.18402,C
664.812,801.2615,359.816,179.40088,-33.312,361.2099,C
631.908,805.30963,336.244,185.41136,-33.656,367.9574,C
648.176,785.8423,331.72,203.66254,-28.792,376.67358,C
653.3,786.6422,358.964,182.28996,-26.132,370.23395,C
654.384,812.6427,332.608,185.8883,-59.028,337.7827,C
587.836,743.9167,351.74,177.8973,-98.796,324.04587,C
666.576,802.17725,341.756,169.53375,-89.892,313.0782,C
643.388,826.7414,274.948,210.59874,-76.72,350.52856,C
682.916,831.4844,277.452,228.21124,-25.92,403.65854,C
703.488,798.9341,305.324,208.36174,-46.14,395.8507,C
631.228,807.6445,291.88,203.8148,-47.624,403.67004,C
692.356,818.57336,287.444,215.78139,-69.9,352.00134,C
695.44,814.4249,314.92,205.28479,-16.268,397.45142,C
693.56,813.67255,304.356,217.18178,-33.044,376.78445,C
563.96,771.3996,271.88,240.13173,-98.692,347.76627,C
604.836,797.91174,292.628,205.87355,-97.304,334.89636,C
602.388,767.01013,300.444,237.50229,-89.064,361.92804,C
671.652,788.4665,326.348,207.3489,-32.128,402.0921,C
642.916,812.3884,263.308,234.28403,-41.128,407.62714,C
624.988,796.04297,275.664,211.87515,-38.016,413.74448,C
637.892,775.70557,291.04,224.04494,-70.784,372.73154,C
607.856,772.16705,293.844,192.44507,-84.676,335.8896,C
545.0,765.0822,270.032,197.80902,-92.236,377.07492,C
620.72,758.8719,333.152,171.35602,-74.28,348.00378,C
623.408,769.0383,298.332,189.09392,-65.092,369.99118,C
612.728,783.8734,271.42,205.13933,-47.064,413.32437,C
517.488,710.36676,301.296,196.39438,-112.664,364.93988,C
617.052,790.0841,301.512,187.42615,-57.332,373.84415,C
616.34,758.11914,311.364,188.85687,-79.456,369.94604,C
623.072,795.38196,302.668,193.85585,-61.872,370.94064,C
601.468,778.235,295.924,224.82605,-74.792,395.62823,C
718.1,682.657,379.732,183.23528,-1.788,405.61105,C
607.8,821.46106,235.86,302.50867,54.268,528.49835,C
597.06,808.8963,240.36,282.01157,33.148,483.58102,C
633.484,821.1072,275.012,237.26935,-2.672,412.6644,C
569.884,824.00867,218.316,299.3283,-4.116,449.21417,C
583.272,755.91284,303.264,236.75473,-49.068,373.9658,C
619.444,825.82196,235.86,229.39319,-58.996,393.52686,C
606.808,834.81537,203.732,242.84502,-33.18,433.78717,C
576.132,850.08234,172.052,259.62567,-51.472,443.01877,C
594.236,843.5919,166.164,250.6983,-101.684,392.63263,C
617.736,805.4676,238.9,224.84604,-94.38,382.07098,C
569.136,813.294,252.172,225.6078,-100.532,339.51642,C
563.624,816.6897,210.392,290.63245,-124.68,364.0272,C
